prompt,classes,answer_index
I look forward to the future with hope and enthusiasm,"[' True', ' False']",0
I might as well give up because I can't make things better for myself,"[' True', ' False']",1
"When things are going badly, I am helped by knowing they can't stay that way forever.","[' True', ' False']",0
I can't imagine what my life would be like in 10 years.,"[' True', ' False']",1
I have enough time to accomplish the things I most want to do.,"[' True', ' False']",0
"In the future, I expect to succeed in what concerns me most.","[' True', ' False']",0
My future seems dark to me.,"[' True', ' False']",1
I expect to get more of the good things in life than the average person.,"[' True', ' False']",0
"I just don't get the breaks, and there's no reason to believe I will in the future.","[' True', ' False']",1
My past experiences have prepared me well for my future.,"[' True', ' False']",0
All I can see ahead of me is unpleasantness rather than pleasantness.,"[' True', ' False']",1
I don't expect to get what I really want.,"[' True', ' False']",1
"When I look ahead to the future, I expect I will be happier than I am now.","[' True', ' False']",0
Things just won't work out the way I want them to.,"[' True', ' False']",1
I have great faith in the future.,"[' True', ' False']",0
I never get what I want so it's foolish to want anything.,"[' True', ' False']",1
It is very unlikely that I will get any real satisfaction in the future.,"[' True', ' False']",1
The future seems vague and uncertain to me.,"[' True', ' False']",1
I can look forward to more good times than bad times.,"[' True', ' False']",0
There's no use in really trying to get something I want because I probably won't get it.,"[' True', ' False']",1
